Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Pharmacodia ID,Launched Drugs
5HT2AR,"HTR2,5-HT2A",Cardiovascular,F0,No,19525820920680916914,0
ACE2,ACE2,Infectious Diseases,In vitro,No,1310451640410575009,0
ADAM15,"ADAM15,MDC15",Oncology,F0,No,,
ADAM8,"ADAM8,MS2,CD156",Oncology,F0,No,,
ADAM9,"ADAM9,MCMP",Oncology,F1(+/-),No,1310451640410575011,0
ADAMTS1,"ADAMTS1,C3-C5,METH1",Cardiovascular,F0,No,,
ADAMTS4,"ADAMTS4,ADMP-1,ADAMTS-2",Orthopaedic Disorders,F1(+/-),No,,
ADIPOQ,"ADIPOQ,ACDC,APM1",Inflammation and Autoimmunity,F0,No,,
ADIPOR1,ADIPOR1,Metabolism,F0,No,75961979824188916250,0
ADORA2A,"A2aR,RDC8,ADORA2",Oncology,F1(+/-),No,88162081516013916957,20
AFP,"AFP,FETA,HPAFP",Oncology,F0,No,95697457469445916103,0
AGR-2,"AGR-2,GOB-4,HAG-2","Oncology,Inflammation and Autoimmunity",F0,No,,
ALB,ALB,"Oncology,Inflammation and Autoimmunity",F2(-/-),No,47253517339812916971,15
ALK,"ALK,CD246,NBLST3",Oncology,F0,No,40796544885929916353,7
AMHR2,"AMHR,MRII,AMHR2",Oncology,Immunization,No,90521562439189916730,0
ANGPTL4,"ANGPTL4,NL2,ARP4","Oncology,Metabolism",F1(+/-),No,,
ANTXR1,"ANTXR1,TEM8",Oncology,Immunization,No,1310451640410575013,0
ANXA1,"ANXA1,ANX1,LPC1","Inflammation and Autoimmunity,Neuroscience,Infectious Diseases,Cardiovascular,Reproductive System Diseases",F1(+/-),No,,
ANXA2,"ANXA2,LIP2,CAL1H",Oncology,F1(+/-),No,,
APLN,"APLN,APEL,XNPEP2","Oncology,Ophthalmology",F1(+/-),No,,
APLP2,"APPH, APPL2, CDEBP, APLP-2","Oncology,Neuroscience",F1(+/-),No,,
APOA2,"APOA2,apoAII,Apo-AII",Inflammation and Autoimmunity,F1(+/-),No,,
APP,"APP,PN2,CTFgamma","Neuroscience,Others,Ophthalmology,Inflammation and Autoimmunity,Oncology,Cardiovascular,Metabolism,Infectious Diseases",F1(+/-),No,72592263388112916297,8
APRIL,"APRIL,CD256,TALL2","Oncology,Urological Diseases,Inflammation and Autoimmunity",F0,No,95062444234141916540,0
AREG,"AREG,SDGF,AREGB",Oncology,F1(+/-),No,,
ARTN,"ARTN,NBN,ENOVIN",Oncology,F1(+/-),No,,
ASCT2,"ASCT2,ATBO,M7VS1",Oncology,F1(+/-),No,,
AXL,"AXL,UFO, JTK11",Oncology,F0,No,78230464363844916301,2
B2M,IMD43,Oncology,F0,No,18965306598960916412,0
B7-H3,B7-H3,Oncology,In vitro,Yes,55851758659778916469,0
B7-H4,"B7-H4,VTCN1",Oncology,Antibody screening,No,83289583030144916336,0
BAFF,"BAFF,CD257,TNFSF20","Oncology,Inflammation and Autoimmunity",F0,No,37537348212294916131,1
BAFFR,"BAFFR,CD268,CVID4","Oncology,Inflammation and Autoimmunity,Infectious Diseases,Cardiovascular",F0,No,79985221955958916466,0
BAMBI,"BAMBI,NMA",Inflammation and Autoimmunity,F1(+/-),No,,
BSPII,"BSP,BNSP,BSPII",Oncology,F1(+/-),No,,
BST1,"BST1,CD157",Oncology,F1(+/-),No,27390104502654916155,0
BST2,"BST2,CD317,TETHERIN",Oncology,F1(+/-),No,,
BTLA,BTLA,Oncology,Immunization,No,18364549454371916638,0
C1S,C1S,Inflammation and Autoimmunity,F2(-/-),No,31670478083301916703,0
C3,"C3,ASP,C3a",Others,F0,No,59274403593916916953,0
C5a,"C5a,C5b,ECLZB","Inflammation and Autoimmunity,Infectious Diseases",F0,No,86849750309301916508,2
C5AR1,"C5AR,CD88,C5AR1","Oncology,Inflammation and Autoimmunity",F2(-/-),No,01784957511375916667,0
CACFD1,"CACFD1,C9orf7,FLOWER",Oncology,F1(+/-),No,,
CACNA2D1,"CACNA2D1,CCHL2A",Oncology,F0,No,54723516511603916859,3
CAIX,"CAIX,CA9,G250",Oncology,F2(-/-),No,01244370588848916952,0
CAV1,"CAV1,CGL3,PPH3",Oncology,F0,No,,
CAXII,"CAXII,CA-XII,T18816",Oncology,F1(+/-),No,,
CB1,CB1,Metabolism,In vitro,No,27555996035783916271,2
CB2,"CB2,CNR2","Oncology,Inflammation and Autoimmunity",F2(-/-),No,56275489835055916966,0
CCL2,CCL2,"Oncology,Inflammation and Autoimmunity",Antibody screening,No,40907795751650916158,0
CCL20,"CCL20,CKb4,LARC","Inflammation and Autoimmunity,Oncology,Gastrointestinal",F0,No,93911308973648916672,0
CCL24,"CCL24,Ckb-6,MPIF2","Inflammation and Autoimmunity,Metabolism,Infectious Diseases",F1(+/-),No,61993767105069916816,0
CCL5,"CCL5,SCYA5,RANTES",Inflammation and Autoimmunity,F1(+/-),No,08111791541898916898,0
CCR2,CCR2,"Oncology,Inflammation and Autoimmunity",Antibody screening,No,73396102262160916988,0
CCR4,CCR4,Oncology,In vitro,No,61872389720407916814,1
CCR5,"CKR5,CD195,CCR5","Infectious Diseases,Inflammation and Autoimmunity",F0,No,65098110261631916202,1
