Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs
SIGLEC15,Siglec-15,Oncology,Antibody Discovery,Yes,2
GCGR,GCGR,Metabolism,Immunization,No,50
CB1,CB1,Metabolism,Immunization,No,49
CCR4,CCR4,Oncology,Immunization,No,5
SLC7A11,Slc7a11,Oncology,Immunization,No,1
CD73,CD73,Oncology,Antibody Discovery,No,13
B7-H3,B7-H3,Oncology,Antibody Discovery,Yes,10
IL4RA,"IL4RA, IL4R",Inflammation and Autoimmunity,F2(-/-),No,15
SIRPa,SIRPA,Oncology,Immunization,No,3
PD-1,PD1,Oncology,Antibody Discovery,No,90
TNFR2,TNFR2,Oncology,Antibody Discovery,No,0
CD47,CD47,Oncology,F2(-/-),No,23
PD-L1,PD-L1,Oncology,F2(-/-),No,72
Claudin 18.2,Claudin 18.2,Oncology,Immunization,No,8
Sclerostin,SOST,Orthopaedic Disorders,F1(+/-),No,5
NKG2A,"KLRC1,  NKG2A",Oncology,F2(-/-),No,1
GITR,GITR,Oncology,F1(+/-),No,12
CD16A,"FCGR3A, CD16A",Oncology,Antibody Discovery,Yes,6
CB2,"CB2, CNR2","Oncology,Inflammation and Autoimmunity",F0,No,24
CD24,CD24,Oncology,F0,Yes,0
CD39,"CD39, ENTPD1",Oncology,F1(+/-),No,4
ST2,"ST2, IL1RL1, IL33R",Inflammation and Autoimmunity,F2(-/-),No,5
ST2,IL33,Inflammation and Autoimmunity,F1(+/-),No,5
B7-H4,"B7-H4, VTCN1",Oncology,F2(-/-),No,1
FAP,FAP,Oncology,F2(-/-),No,8
CCL2,CCL2,"Oncology,Inflammation and Autoimmunity",F2(-/-),No,6
CCR2,CCR2,"Oncology,Inflammation and Autoimmunity",F2(-/-),No,25
CD96,CD96,Oncology,F2(-/-),No,0
IL31RA,IL31RA,Inflammation and Autoimmunity,F1(+/-),No,0
TSLP,TSLP,"Oncology,Inflammation and Autoimmunity",F2(-/-),No,2
GPRC5D,GPRC5D,Oncology,F2(-/-),No,1
IL2RB,CD122,"Oncology,Inflammation and Autoimmunity",F1(+/-),No,1
CD226,CD226,Oncology,F1(+/-),No,0
CRTH2,"CRTH2, PTGDR2",Inflammation and Autoimmunity,F2(-/-),No,21
GM-CSF,"GM-CSF, CSF2","Oncology,Inflammation and Autoimmunity",F0,No,12
GPR77,"GPR77, C5AR2",Oncology,F1(+/-),No,0
IL1A,IL-1ɑ,"Oncology,Inflammation and Autoimmunity",F1(+/-),No,14
IL1R,"IL-1R1, IL1R, CD121ɑ","Oncology,Inflammation and Autoimmunity",F0,No,22
IL1B,IL-1β,"Oncology,Inflammation and Autoimmunity",F1(+/-),No,30
IL6R,IL-6RA,Inflammation and Autoimmunity,F0,No,21
IL10,IL-10,"Oncology,Inflammation and Autoimmunity",F1(+/-),No,11
IL10RA,IL-10RA,Inflammation and Autoimmunity,F2(-/-),No,0
IL17RA,IL-17RA,Inflammation and Autoimmunity,F1(+/-),No,4
IL36R,"IL-36R, IL1RL2",Inflammation and Autoimmunity,F1(+/-),No,2
IL23R,IL-23R,Inflammation and Autoimmunity,,Yes,1
GARP,"GARP, LRRC32","Oncology,Inflammation and Autoimmunity",,Yes,1
NKG2D,"NKG2D, KLRK1",Oncology,F1(+/-),No,0
NKp46,"NKp46, NCR1",Oncology,F2(-/-),No,0
Siglec-10,Siglec-10,Oncology,F2(-/-),No,1
