Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs,Pharmacodia ID
4-1BB,"4-1BB, CD137, TNFRSF9",Oncology,F1(+/-),No,21,1310451640410575009
ACE2,ACE2,Infectious Diseases,F0,No,0,1310451640410575011
ADAM9,"ADAM9, MCMP",Oncology,F0,No,0,75961979824188916250
ADORA2A,"A2aR, RDC8, ADORA2",Oncology,F0,No,50,47253517339812916971
AFP,"AFP, FETA, HPAFP",Oncology,F0,No,4,40796544885929916353
AGR-2,"AGR-2, GOB-4, HAG-2","Oncology, Inflammation and Autoimmunity",F0,No,0,90521562439189916730
ALB,ALB,"Oncology, Inflammation and Autoimmunity",F1(+/-),No,9,15621522008106916971
ALK,"ALK, CD246, NBLST3",Oncology,F0,No,27,1310451640410575013
AMHR2,"AMHR, MRII, AMHR2",Oncology,F1(+/-),No,2,95062444234141916540
ANGPTL4,"ANGPTL4, NL2, ARP4","Oncology, Metabolism",F0,No,0,78230464363844916301
ANTXR1,"ANTXR1, TEM8",Oncology,F1(+/-),No,0,37537348212294916131
ANXA1,"ANXA1, ANX1, LPC1","Inflammation and Autoimmunity,  Neuroscience,  Infectious Diseases, Cardiovascular,  Reproductive System Diseases",F0,No,0,94238000764503916816
APLN,"APLN, APEL, XNPEP2","Oncology,  Ophthalmology",F0,No,0,18364549454371916638
AREG,"AREG, SDGF, AREGB",Oncology,F0,No,0,31670478083301916703
ASCT2,"ASCT2, ATBO, M7VS1",Oncology,F0,No,0,01784957511375916667
AXL,"AXL, UFO,  JTK11",Oncology,F0,No,23,01244370588848916952
B7-H3,B7-H3,Oncology,,Yes,10,27555996035783916271
B7-H4,"B7-H4, VTCN1",Oncology,F2(-/-),No,1,56275489835055916966
BAFF,"BAFF, CD257, TNFSF20","Oncology, Inflammation and Autoimmunity",F0,No,12,40907795751650916158
BCMA,"BCMA, TNFRSF17, CD269",Oncology,F0,No,47,93911308973648916672
BSPII,"BSP, BNSP, BSPII",Oncology,F0,No,0,08111791541898916898
BST2,"BST2, CD317, TETHERIN",Oncology,F0,No,0,73396102262160916988
BTLA,BTLA,Oncology,F1(+/-),No,1,61872389720407916814
C1S,C1S,Inflammation and Autoimmunity,F2(-/-),No,6,65098110261631916202
C5AR1,"C5AR, CD88, C5AR1","Oncology, Inflammation and Autoimmunity",F1(+/-),No,7,1310451640410575015
CACNA2D1,"CACNA2D1, CCHL2A",Oncology,F0,No,6,1310451640410575017
CAIX,"CAIX, CA9, G250",Oncology,F0,No,12,30830199674784916418
CAXII,"CAXII, CA-XII, T18816",Oncology,F0,No,0,03258932679204916690
CB1,CB1,Metabolism,Immunization,No,49,55701079333590916422
CB2,"CB2, CNR2","Oncology, Inflammation and Autoimmunity",F0,No,24,11940843243062916501
CCL2,CCL2,"Oncology, Inflammation and Autoimmunity",F2(-/-),No,6,57697900903708916935
CCL24,"CCL24, Ckb-6, MPIF2","Inflammation and Autoimmunity, Metabolism, Infectious Diseases",F0,No,1,76123926390403916981
CCL5,"CCL5, SCYA5, RANTES",Inflammation and Autoimmunity,F0,No,2,69167746170650916458
CCR2,CCR2,"Oncology, Inflammation and Autoimmunity",F2(-/-),No,25,77537355125232916510
CCR4,CCR4,Oncology,Immunization,No,5,86360205749459916687
CCR5,"CKR5, CD195, CCR5","Infectious Diseases, Inflammation and Autoimmunity",F0,No,43,1310451640410575019
CCR6,"CCR6, CD196, CKR-L3","Oncology, Inflammation and Autoimmunity",F0,No,0,1310451640410575021
CCR7,"CCR7, CD197",Oncology,F0,No,0,15563742598470916601
CCR8,"CCR8, CKRL1, CMKBR8",Oncology,F1(+/-),No,0,65910194357446916947
CCR9,"CCR9, GPR28, CC-CKR-9",Oncology,F0,No,4,68819975007252916926
CD106,"CD106, VCAM1","Oncology, Inflammation and Autoimmunity, Cardiovascular",F0,No,7,02601101396589916393
CD133,"CD133, RP41, AC133",Oncology,F0,No,2,25217404131691916667
CD138,"SDC,  CD138,  SYND1",Oncology,F0,No,3,07272802723843916997
CD14,CD14,"Infectious Diseases, Inflammation and Autoimmunity",F0,No,1,62970374419843916863
CD15,"CD15, FCT3A, FUTIV","Oncology, Inflammation and Autoimmunity",F0,No,0,30386034493737916478
CD155,"CD155, PVR",Oncology,F0,No,1,19367787448993916585
CD166,"MEMD, CD166","Oncology, Inflammation and Autoimmunity",F0,No,1,75968780273393916709
CD16A,"FCGR3A, CD16A",Oncology,,Yes,6,57486312350504916104
CD18,"CD18, MFI7, LCAMB",Oncology,F0,No,0,31236955043971916769
CD19,"CD19, B4, CVID3","Oncology, Inflammation and Autoimmunity",F0,No,186,64191601945873916997
CD2,CD2,"Oncology, Inflammation and Autoimmunity",F1(+/-),No,4,65508508795958916649
CD20,"CD20, CVID5, LEU-16","Oncology, Inflammation and Autoimmunity",F0,No,121,85032835843070916379
CD22,"CD22, SIGLEC-2","Oncology, Inflammation and Autoimmunity",F0,No,42,1310451640410575024
CD226,CD226,Oncology,F1(+/-),No,0,87246012261747916148
CD23,"CD23, FCE2","Oncology, Inflammation and Autoimmunity",F0,No,3,68977677421825916266
CD24,CD24,Oncology,,Yes,0,00130394742121916446
CD26,"CD26, ADABP, ADCP2","Oncology, Inflammation and Autoimmunity",F2(-/-),No,88,89264038391022916327
CD27,"CD27, TNFRSF7, Tp55","Oncology, Inflammation and Autoimmunity",F0,No,4,84967672751457916932
CD30,"CD30, D1S166E,  Ki-1",Oncology,F0,No,23,10395993102836916461
CD300a,"CD300a, IRC1, CMRF35H",Inflammation and Autoimmunity,F0,No,0,1310451640410575026
CD33,"CD33, SIGLEC-3",Oncology,F0,No,30,1310451640410575028
CD36,"CD36, FAT, GP3B","Oncology, Cardiovascular",F0,No,0,95610343298992916513
